"TIME","GEO","NACE_R2","UNIT","AGE","Value"
"2008","BE33","O-Q","THS","Y_GE15","138.6"
"2008","BE33","R-U","THS","Y_GE15","17.3"
"2008","BE33","NRP","THS","Y_GE15",":"
"2008","BE34","TOTAL","THS","Y_GE15","108.0"
"2008","BE34","A","THS","Y_GE15","4.5"
"2008","BE34","B-E","THS","Y_GE15","13.0"
"2008","BE34","F","THS","Y_GE15","10.2"
"2008","BE34","G-I","THS","Y_GE15","22.8"
"2008","BE34","J","THS","Y_GE15","2.7"
"2008","BE34","K","THS","Y_GE15","8.0"
"2008","BE34","L","THS","Y_GE15",":"
"2008","BE34","M_N","THS","Y_GE15","8.0"
"2008","BE34","O-Q","THS","Y_GE15","33.2"
"2008","BE34","R-U","THS","Y_GE15","5.0"
"2008","BE34","NRP","THS","Y_GE15",":"
"2008","BE35","TOTAL","THS","Y_GE15","182.8"
"2008","BE35","A","THS","Y_GE15","4.7"
"2008","BE35","B-E","THS","Y_GE15","22.0"
"2008","BE35","F","THS","Y_GE15","14.9"
"2008","BE35","G-I","THS","Y_GE15","40.7"
"2008","BE35","J","THS","Y_GE15","4.1"
"2008","BE35","K","THS","Y_GE15","5.7"
"2008","BE35","L","THS","Y_GE15",":"
"2008","BE35","M_N","THS","Y_GE15","9.1"
"2008","BE35","O-Q","THS","Y_GE15","71.7"
"2008","BE35","R-U","THS","Y_GE15","8.8"
"2008","BE35","NRP","THS","Y_GE15",":"
"2008","BG31","TOTAL","THS","Y_GE15","359.3"
"2008","BG31","A","THS","Y_GE15","28.1"
"2008","BG31","B-E","THS","Y_GE15","112.3"
"2008","BG31","F","THS","Y_GE15","26.7"
"2008","BG31","G-I","THS","Y_GE15","84.0"
"2008","BG31","J","THS","Y_GE15","4.5"
"2008","BG31","K","THS","Y_GE15","3.9"
"2008","BG31","L","THS","Y_GE15",":"
"2008","BG31","M_N","THS","Y_GE15","12.1"
"2008","BG31","O-Q","THS","Y_GE15","79.9"
"2008","BG31","R-U","THS","Y_GE15","7.1"
"2008","BG31","NRP","THS","Y_GE15",":"
"2008","BG32","TOTAL","THS","Y_GE15","374.4"
"2008","BG32","A","THS","Y_GE15","37.6"
"2008","BG32","B-E","THS","Y_GE15","117.4"
"2008","BG32","F","THS","Y_GE15","30.1"
"2008","BG32","G-I","THS","Y_GE15","90.8"
"2008","BG32","J","THS","Y_GE15","5.3"
"2008","BG32","K","THS","Y_GE15","4.6"
"2008","BG32","L","THS","Y_GE15",":"
"2008","BG32","M_N","THS","Y_GE15","11.4"
"2008","BG32","O-Q","THS","Y_GE15","66.7"
"2008","BG32","R-U","THS","Y_GE15","9.1"
"2008","BG32","NRP","THS","Y_GE15",":"
"2008","BG33","TOTAL","THS","Y_GE15","429.1"
"2008","BG33","A","THS","Y_GE15","33.8"
"2008","BG33","B-E","THS","Y_GE15","92.4"
"2008","BG33","F","THS","Y_GE15","58.8"
"2008","BG33","G-I","THS","Y_GE15","122.5"
"2008","BG33","J","THS","Y_GE15","5.4"
"2008","BG33","K","THS","Y_GE15","6.3"
"2008","BG33","L","THS","Y_GE15",":"
"2008","BG33","M_N","THS","Y_GE15","22.1"
"2008","BG33","O-Q","THS","Y_GE15","74.4"
"2008","BG33","R-U","THS","Y_GE15","11.2"
"2008","BG33","NRP","THS","Y_GE15",":"
"2008","BG34","TOTAL","THS","Y_GE15","469.4"
"2008","BG34","A","THS","Y_GE15","40.4"
"2008","BG34","B-E","THS","Y_GE15","137.1"
"2008","BG34","F","THS","Y_GE15","53.5"
"2008","BG34","G-I","THS","Y_GE15","126.8"
"2008","BG34","J","THS","Y_GE15","4.5"
"2008","BG34","K","THS","Y_GE15","4.8"
"2008","BG34","L","THS","Y_GE15",":"
"2008","BG34","M_N","THS","Y_GE15","13.2"
"2008","BG34","O-Q","THS","Y_GE15","76.3"
"2008","BG34","R-U","THS","Y_GE15","11.1"
"2008","BG34","NRP","THS","Y_GE15",":"
"2008","BG41","TOTAL","THS","Y_GE15","1,060.2"
"2008","BG41","A","THS","Y_GE15","33.4"
"2008","BG41","B-E","THS","Y_GE15","226.1"
"2008","BG41","F","THS","Y_GE15","109.6"
"2008","BG41","G-I","THS","Y_GE15","296.2"
"2008","BG41","J","THS","Y_GE15","44.2"
"2008","BG41","K","THS","Y_GE15","30.6"
"2008","BG41","L","THS","Y_GE15","7.4"
"2008","BG41","M_N","THS","Y_GE15","80.5"
"2008","BG41","O-Q","THS","Y_GE15","190.2"
"2008","BG41","R-U","THS","Y_GE15","41.9"
"2008","BG41","NRP","THS","Y_GE15",":"
"2008","BG42","TOTAL","THS","Y_GE15","668.3"
"2008","BG42","A","THS","Y_GE15","77.9"
"2008","BG42","B-E","THS","Y_GE15","198.7"
"2008","BG42","F","THS","Y_GE15","61.6"
"2008","BG42","G-I","THS","Y_GE15","167.9"
"2008","BG42","J","THS","Y_GE15","7.4"
"2008","BG42","K","THS","Y_GE15","6.8"
"2008","BG42","L","THS","Y_GE15",":"
"2008","BG42","M_N","THS","Y_GE15","18.4"
"2008","BG42","O-Q","THS","Y_GE15","111.5"
"2008","BG42","R-U","THS","Y_GE15","17.5"
"2008","BG42","NRP","THS","Y_GE15",":"
"2008","CZ01","TOTAL","THS","Y_GE15","645.6"
"2008","CZ01","A","THS","Y_GE15","0.7"
"2008","CZ01","B-E","THS","Y_GE15","65.2"
"2008","CZ01","F","THS","Y_GE15","53.6"
"2008","CZ01","G-I","THS","Y_GE15","176.3"
"2008","CZ01","J","THS","Y_GE15","44.9"
"2008","CZ01","K","THS","Y_GE15","34.5"
"2008","CZ01","L","THS","Y_GE15","12.8"
"2008","CZ01","M_N","THS","Y_GE15","92.4"
"2008","CZ01","O-Q","THS","Y_GE15","130.9"
"2008","CZ01","R-U","THS","Y_GE15","34.3"
"2008","CZ01","NRP","THS","Y_GE15",":"
"2008","CZ02","TOTAL","THS","Y_GE15","599.4"
"2008","CZ02","A","THS","Y_GE15","18.2"
"2008","CZ02","B-E","THS","Y_GE15","182.6"
"2008","CZ02","F","THS","Y_GE15","58.8"
"2008","CZ02","G-I","THS","Y_GE15","151.3"
"2008","CZ02","J","THS","Y_GE15","11.0"
"2008","CZ02","K","THS","Y_GE15","14.4"
"2008","CZ02","L","THS","Y_GE15","3.2"
"2008","CZ02","M_N","THS","Y_GE15","39.2"
"2008","CZ02","O-Q","THS","Y_GE15","98.1"
"2008","CZ02","R-U","THS","Y_GE15","22.5"
"2008","CZ02","NRP","THS","Y_GE15",":"
"2008","CZ03","TOTAL","THS","Y_GE15","594.7"
